N,Z,A,mass_xx_kev,mass_xx_uncert,bea_kev,A,atom_mass_muu,atom_mass_uncert
36,20,56,-13510,250,8033,55,985500,270
35,21,56,-25520,260,8234,55,972610,280
34,22,56,-39420,100,8467.9,55,957680,110
33,23,56,-46180,180,8575,55,950420,190
32,24,56,-55285.1,0.6,8723.261,55,940649.0,0.6
31,25,56,-56911.67,0.29,8738.336,55,938902.8,0.3
30,26,56,-60607.16,0.27,8790.356,55,934935.54,0.29
29,27,56,-56040.5,0.5,8694.839,55,939838.0,0.5
28,28,56,-53907.6,0.4,8642.781,55,942127.8,0.4
27,29,56,-38630,6,8355.99,55,958529,7
26,30,56,-25390#,400#,8106#,55,972740#,430#
25,31,56,-3840#,500#,7707#,55,995880#,540#
38,19,57,14130#,600#,7563#,57,015170#,640#
37,20,57,-6560#,400#,7912#,56,992960#,430#
36,21,57,-21380,180,8158,56,977050,190
35,22,57,-34400,210,8373,56,963070,220
34,23,57,-44440,80,8535.2,56,952300,90
33,24,57,-52525.0,1.9,8663.40,56,943612.1,2.0
32,25,57,-57486.3,1.5,8736.715,56,938285.9,1.6
31,26,57,-60182.02,0.27,8770.283,56,935391.95,0.29
30,27,57,-59345.7,0.5,8741.885,56,936289.8,0.6
29,28,57,-56084.0,0.6,8670.936,56,939791.4,0.6
28,29,57,-47309.0,0.5,8503.265,56,949211.7,0.5
27,30,57,-32550#,200#,8231#,56,965060#,220#
26,31,57,-15410#,400#,7916#,56,983460#,430#
39,19,58,21930#,700#,7437#,58,023540#,750#
38,20,58,-1530#,500#,7828#,57,998360#,540#
37,21,58,-15480,190,8055,57,983380,200
36,22,58,-30920,180,8308,57,966810,200
35,23,58,-40430,100,8458.2,57,956600,100
34,24,58,-51991.8,3.0,8644.00,57,944185,3
33,25,58,-55827.6,2.7,8696.64,57,940066.6,2.9
32,26,58,-62155.3,0.3,8792.253,57,933273.6,0.3
31,27,58,-59847.3,1.2,8738.972,57,935751.3,1.2
30,28,58,-60228.9,0.3,8732.062,57,935341.7,0.4
29,29,58,-51667.9,0.6,8570.970,57,944532.3,0.6
28,30,58,-42300,50,8395.9,57,954590,50
27,31,58,-23540#,300#,8059#,57,974730#,320#
26,32,58,-7580#,500#,7770#,57,991860#,540#
40,19,59,28750#,800#,7332#,59,030860#,860#
39,20,59,5810#,600#,7708#,59,006240#,640#
38,21,59,-10830,250,7976,58,988370,270
37,22,59,-25880#,300#,8218#,58,972220#,320#
36,23,59,-37610,140,8403.8,58,959620,150
35,24,59,-48115.9,0.7,8568.599,58,948345.4,0.7
34,25,59,-55525.3,2.3,8680.92,58,940391.1,2.5
33,26,59,-60665.0,0.3,8754.775,58,934873.5,0.4
32,27,59,-62229.8,0.4,8768.038,58,933193.5,0.4
31,28,59,-61156.8,0.4,8736.591,58,934345.4,0.4
30,29,59,-56358.5,0.5,8642.003,58,939496.7,0.6
29,30,59,-47215.7,0.8,8473.780,58,949311.9,0.8
28,31,59,-33760#,170#,8232#,58,963760#,180#
27,32,59,-16370#,400#,7924#,58,982430#,430#
40,20,60,11000#,700#,7627#,60,011810#,750#
39,21,60,-4550#,500#,7873#,59,995120#,540#
38,22,60,-22100,240,8153,59,976280,260
37,23,60,-33090,180,8323,59,964480,200
36,24,60,-46908.5,1.1,8540.188,59,949641.7,1.2
35,25,60,-52967.9,2.3,8628.14,59,943136.6,2.5
34,26,60,-61413,3,8755.85,59,934070,4
33,27,60,-61650.4,0.4,8746.769,59,933815.5,0.4
32,28,60,-64473.2,0.4,8780.777,59,930785.1,0.4
31,29,60,-58345.3,1.6,8665.605,59,937363.8,1.7
30,30,60,-54174.5,0.5,8583.052,59,941841.3,0.6
29,31,60,-39590#,200#,8327#,59,957500#,220#
28,32,60,-27530#,300#,8113#,59,970450#,320#
27,33,60,-5640#,400#,7735#,59,993950#,430#
41,20,61,19010#,800#,7503#,61,020410#,860#
40,21,61,500#,600#,7794#,61,000540#,640#
39,22,61,-16370#,300#,8058#,60,982430#,320#
38,23,61,-30180,230,8271,60,967600,250
37,24,61,-42496.5,1.9,8460.17,60,954378.1,2.0
36,25,61,-51742.1,2.3,8598.92,60,944452.5,2.5
35,26,61,-58920.5,2.6,8703.77,60,936746.2,2.8
34,27,61,-62898.2,0.8,8756.151,60,932476.0,0.9
33,28,61,-64222.0,0.4,8765.028,60,931054.8,0.4
32,29,61,-61984.1,1.0,8715.515,60,933457.4,1.0
31,30,61,-56349,16,8610.31,60,939507,17
30,31,61,-47130,40,8446.4,60,949400,40
29,32,61,-33790#,300#,8215#,60,963730#,320#
28,33,61,-17200#,300#,7930#,60,981540#,320#
41,21,62,7310#,600#,7688#,62,007850#,640#
40,22,62,-12200#,400#,7990#,61,986900#,430#
39,23,62,-25210,260,8188,61,972930,280
38,24,62,-40853,3,8427.39,61,956143,4
37,25,62,-48524,7,8538.50,61,947907,7
36,26,62,-58878.1,2.8,8692.88,61,936792,3
35,27,62,-61424,19,8721.33,61,934058,20
34,28,62,-66746.4,0.4,8794.556,61,928344.8,0.5
33,29,62,-62787.5,0.6,8718.084,61,932594.8,0.7
32,30,62,-61168.1,0.6,8679.345,61,934333.4,0.7
31,31,62,-51987.0,0.6,8518.645,61,944189.6,0.7
30,32,62,-42140#,140#,8347#,61,954760#,150#
29,33,62,-24420#,300#,8049#,61,973780#,320#
42,21,63,13070#,700#,7603#,63,014030#,750#
41,22,63,-5860#,500#,7891#,62,993710#,540#
40,23,63,-21740,340,8131,62,976660,370
39,24,63,-36180,70,8347.5,62,961160,80
38,25,63,-46887,4,8505.10,62,949665,4
37,26,63,-55636,4,8631.55,62,940273,5
36,27,63,-61852,19,8717.80,62,933600,20
35,28,63,-65512.9,0.4,8763.495,62,929669.0,0.5
34,29,63,-65579.9,0.4,8752.140,62,929597.1,0.5
33,30,63,-62213.4,1.6,8686.287,62,933211.1,1.7
32,31,63,-56547.1,1.3,8583.927,62,939294.2,1.4
31,32,63,-46920,40,8418.7,62,949630,40
30,33,63,-33500#,200#,8193#,62,964040#,220#
29,34,63,-16850#,500#,7917#,62,981910#,540#
42,22,64,-1480#,600#,7826#,63,998410#,640#
41,23,64,-16320#,400#,8045#,63,982480#,430#
40,24,64,-33640,300,8304,63,963890,320
39,25,64,-42989,4,8437.42,63,953849,4
38,26,64,-54970,5,8612.39,63,940988,5
37,27,64,-59792,20,8675.5,63,935810,21
36,28,64,-67099.0,0.5,8777.464,63,927966.2,0.5
35,29,64,-65424.4,0.4,8739.074,63,929764.0,0.5
34,30,64,-66004.0,0.6,8735.906,63,929141.8,0.7
33,31,64,-58832.8,1.4,8611.632,63,936840.4,1.5
32,32,64,-54316,4,8528.82,63,941690,4
31,33,64,-39530#,200#,8286#,63,957560#,220#
30,34,64,-26860#,500#,8075#,63,971170#,540#
43,22,65,5210#,700#,7726#,65,005590#,750#
42,23,65,-12110#,500#,7981#,64,987000#,540#
41,24,65,-28310#,200#,8218#,64,969610#,220#
40,25,65,-40967,4,8400.68,64,956020,4
39,26,65,-51218,5,8546.35,64,945015,5
38,27,65,-59185.2,2.1,8656.88,64,936462.1,2.2
37,28,65,-65125.8,0.5,8736.242,64,930084.6,0.5
36,29,65,-67263.7,0.6,8757.097,64,927789.5,0.7
35,30,65,-65912.0,0.6,8724.266,64,929240.5,0.7
34,31,65,-62657.5,0.8,8662.160,64,932734.4,0.8
33,32,65,-56478.2,2.2,8555.06,64,939368.1,2.3
32,33,65,-46940,80,8396.2,64,949610,90
31,34,65,-33020#,300#,8170#,64,964550#,320#
30,35,65,-16490#,500#,7904#,64,982300#,540#
43,23,66,-6300#,500#,7894#,65,993240#,540#
42,24,66,-25140#,300#,8168#,65,973010#,320#
41,25,66,-36750,11,8331.80,65,960547,12
40,26,66,-50068,4,8521.72,65,946250,4
39,27,66,-56409,14,8605.94,65,939443,15
38,28,66,-66006.3,1.4,8739.509,65,929139.3,1.5
37,29,66,-66258.3,0.6,8731.473,65,928868.8,0.7
36,30,66,-68899.2,0.7,8759.633,65,926033.6,0.8
35,31,66,-63723.7,1.1,8669.363,65,931589.8,1.2
34,32,66,-61607.0,2.4,8625.44,65,933862.1,2.6
33,33,66,-52025,6,8468.40,65,944149,6
32,34,66,-41660#,200#,8300#,65,955280#,220#
31,35,66,-23570#,400#,8014#,65,974700#,430#
44,23,67,-1740#,600#,7829#,66,998130#,640#
43,24,67,-19270#,400#,8079#,66,979310#,430#
42,25,67,-33580#,200#,8281#,66,963950#,220#
41,26,67,-45708,4,8449.94,66,950930,4
40,27,67,-55322,6,8581.74,66,940610,7
39,28,67,-63742.7,2.9,8695.75,66,931569,3
38,29,67,-67319.6,0.9,8737.460,66,927729.5,1.0
37,30,67,-67880.4,0.8,8734.153,66,927127.4,0.8
36,31,67,-66879.2,1.2,8707.533,66,928202.3,1.3
35,32,67,-62674,4,8633.09,66,932717,5
34,33,67,-56587.2,0.4,8530.569,66,939251.1,0.5
33,34,67,-46580,70,8369.5,66,949990,70
32,35,67,-32530#,300#,8148#,66,965080#,320#
31,36,67,-15550#,420#,7883#,66,983310#,460#
44,24,68,-15690#,500#,8026#,67,983160#,540#
43,25,68,-28920#,300#,8209#,67,968950#,320#
42,26,68,-43900#,190#,8418#,67,952880#,210#
41,27,68,-51643,4,8520.13,67,944559,4
40,28,68,-63463.8,3.0,8682.47,67,931869,3
39,29,68,-65567.0,1.6,8701.891,67,929610.9,1.7
38,30,68,-70007.2,0.8,8755.682,67,924844.2,0.8
37,31,68,-67086.1,1.4,8701.219,67,927980.2,1.5
36,32,68,-66978.8,1.9,8688.137,67,928095.3,2.0
35,33,68,-58894.5,1.8,8557.746,67,936774.1,2.0
34,34,68,-54189.4,0.5,8477.048,67,941825.2,0.5
33,35,68,-38790#,260#,8239#,67,958360#,280#
32,36,68,-25630#,500#,8034#,67,972490#,540#
45,24,69,-9630#,500#,7939#,68,989660#,540#
44,25,69,-25360#,400#,8155#,68,972780#,430#
43,26,69,-39200#,200#,8345#,68,957920#,220#
42,27,69,-50390,90,8495.4,68,945910,90
41,28,69,-59979,4,8623.10,68,935610,4
40,29,69,-65736.2,1.4,8695.204,68,929429.3,1.5
39,30,69,-68417.9,0.8,8722.731,68,926550.4,0.9
38,31,69,-69327.8,1.2,8724.580,68,925573.5,1.3
37,32,69,-67100.7,1.3,8680.964,68,927964.5,1.4
36,33,69,-63110,30,8611.8,68,932250,30
35,34,69,-56434.7,1.5,8503.708,68,939414.8,1.6
34,35,69,-46260,40,8344.9,68,950340,50
33,36,69,-32140#,300#,8129#,68,965500#,320#
46,24,70,-5640#,600#,7884#,69,993950#,640#
45,25,70,-20450#,500#,8084#,69,978050#,540#
44,26,70,-36890#,300#,8308#,69,960400#,320#
43,27,70,-46525,11,8434.20,69,950053,12
42,28,70,-59213.9,2.1,8604.29,69,936431.3,2.3
41,29,70,-62976.4,1.1,8646.865,69,932392.1,1.2
40,30,70,-69564.7,1.9,8729.809,69,925319.2,2.1
39,31,70,-68910.2,1.2,8709.281,69,926021.9,1.3
38,32,70,-70562.0,0.8,8721.703,69,924248.5,0.9
37,33,70,-64334.0,1.4,8621.554,69,930934.6,1.5
36,34,70,-61929.9,1.6,8576.034,69,933515.5,1.7
35,35,70,-51426,15,8414.80,69,944792,16
34,36,70,-41100#,200#,8256#,69,955880#,220#
46,25,71,-16620#,500#,8030#,70,982160#,540#
45,26,71,-31930#,400#,8235#,70,965720#,430#
44,27,71,-44370,470,8399,70,952370,500
43,28,71,-55406.2,2.2,8543.16,70,940519.0,2.4
42,29,71,-62711.1,1.5,8635.023,70,932676.8,1.6
41,30,71,-67328.8,2.7,8689.04,70,927719.6,2.8
40,31,71,-70139.1,0.8,8717.605,70,924702.6,0.9
39,32,71,-69906.7,0.8,8703.312,70,924952.1,0.9
38,33,71,-67893,4,8663.94,70,927114,4
37,34,71,-63146.5,2.8,8586.06,70,932209,3
36,35,71,-56502,5,8481.46,70,939342,6
35,36,71,-46330,130,8327.1,70,950270,140
34,37,71,-32290#,400#,8118#,70,965340#,430#
47,25,72,-11170#,600#,7955#,71,988010#,640#
46,26,72,-29250#,500#,8195#,71,968600#,540#
45,27,72,-40300#,300#,8338#,71,956740#,320#
44,28,72,-54226.1,2.2,8520.21,71,941785.9,2.4
43,29,72,-59783.0,1.4,8586.526,71,935820.3,1.5
42,30,72,-68145.5,2.1,8691.805,71,926842.8,2.3
41,31,72,-68588.3,0.8,8687.089,71,926367.5,0.9
40,32,72,-72585.91,0.08,8731.746,71,922075.82,0.08
39,33,72,-68230,4,8660.38,71,926752,4
38,34,72,-67868.2,2.0,8644.490,71,927140.5,2.1
37,35,72,-59061.8,1.0,8511.313,71,936594.6,1.1
36,36,72,-53941,8,8429.32,71,942092,9
35,37,72,-38330#,500#,8202#,71,958850#,540#
48,25,73,-6700#,600#,7895#,72,992810#,640#
47,26,73,-23990#,500#,8121#,72,974250#,540#
46,27,73,-37970#,300#,8302#,72,959240#,320#
45,28,73,-50108.2,2.4,8457.65,72,946206.7,2.6
44,29,73,-58987.4,1.9,8568.570,72,936674.4,2.1
43,30,73,-65593.4,1.9,8648.345,72,929582.6,2.0
42,31,73,-69699.3,1.7,8693.874,72,925174.7,1.8
41,32,73,-71297.53,0.06,8705.050,72,923458.95,0.06
40,33,73,-70953,4,8689.61,72,923829,4
39,34,73,-68227,7,8641.56,72,926755,8
38,35,73,-63646,7,8568.08,72,931673,7
37,36,73,-56552,7,8460.18,72,939289,7
36,37,73,-46010,40,8305.1,72,950600,40
35,38,73,-31950#,400#,8102#,72,965700#,430#
48,26,74,-20660#,500#,8076#,73,977820#,540#
47,27,74,-33540#,400#,8239#,73,963990#,430#
46,28,74,-48700#,200#,8433#,73,947720#,220#
45,29,74,-56006,6,8521.56,73,939875,7
44,30,74,-65756.7,2.5,8642.75,73,929407.3,2.7
43,31,74,-68049.6,3.0,8663.17,73,926946,3
42,32,74,-73422.451,0.013,8725.201,73,921177.761,0.013
41,33,74,-70860.1,1.7,8680.002,73,923928.6,1.8
40,34,74,-72213.210,0.015,8687.716,73,922475.934,0.016
39,35,74,-65288,6,8583.56,73,929910,6
38,36,74,-62331.8,2.0,8533.039,73,933084.0,2.2
37,37,74,-51916,3,8381.71,73,944266,3
36,38,74,-40830#,100#,8221#,73,956170#,110#
49,26,75,-14700#,600#,7996#,74,984220#,640#
48,27,75,-30560#,400#,8197#,74,967190#,430#
47,28,75,-44240#,200#,8369#,74,952510#,220#
46,29,75,-54470.2,0.7,8495.080,74,941523.8,0.8
45,30,75,-62558.9,2.0,8592.498,74,932840.2,2.1
44,31,75,-68460.6,0.7,8660.756,74,926504.5,0.7
43,32,75,-71856.97,0.05,8695.610,74,922858.37,0.06
42,33,75,-73034.2,0.9,8700.875,74,921594.6,0.9
41,34,75,-72169.49,0.07,8678.914,74,922522.87,0.08
40,35,75,-69107,4,8627.65,74,925811,5
39,36,75,-64324,8,8553.44,74,930946,9
38,37,75,-57218.7,1.2,8448.276,74,938573.2,1.3
37,38,75,-46620,220,8296.5,74,949950,240
36,39,75,-31820#,300#,8089#,74,965840#,320#
50,26,76,-10590#,600#,7943#,75,988630#,640#
49,27,76,-25660#,500#,8131#,75,972450#,540#
48,28,76,-42190#,300#,8338#,75,954710#,320#
47,29,76,-50981.6,0.9,8443.602,75,945269.0,1.0
46,30,76,-62303.0,1.5,8582.274,75,933115.0,1.6
45,31,76,-66296.6,2.0,8624.527,75,928827.6,2.1
44,32,76,-73212.898,0.018,8705.236,75,921402.725,0.019
43,33,76,-72291.4,0.9,8682.817,75,922392.0,1.0
42,34,76,-75251.959,0.016,8711.478,75,919213.703,0.017
41,35,76,-70289,9,8635.88,75,924542,10
40,36,76,-69014,4,8608.81,75,925911,4
39,37,76,-60479.1,0.9,8486.216,75,935073.0,1.0
38,38,76,-54250,30,8393.9,75,941760,40
37,39,76,-38250#,300#,8173#,75,958940#,320#
50,27,77,-21910#,600#,8082#,76,976480#,640#
49,28,77,-37350#,400#,8272#,76,959900#,430#
48,29,77,-48862.8,1.2,8411.250,76,947543.6,1.3
47,30,77,-58789.2,2.0,8530.004,76,936887.2,2.1
46,31,77,-65992.4,2.4,8613.39,76,929154.3,2.6
45,32,77,-71212.87,0.05,8671.029,76,923549.84,0.06
44,33,77,-73916.3,1.7,8695.979,76,920647.6,1.8
43,34,77,-74599.50,0.06,8694.691,76,919914.15,0.07
42,35,77,-73234.8,2.8,8666.81,76,921379,3
41,36,77,-70169.5,2.0,8616.837,76,924670.0,2.1
40,37,77,-64830.5,1.3,8537.340,76,930401.6,1.4
39,38,77,-57803,8,8435.92,76,937945,9
38,39,77,-46440#,200#,8278#,76,950150#,220#
37,40,77,-31600#,400#,8075#,76,966080#,430#
51,27,78,-15320#,700#,7997#,77,983550#,750#
50,28,78,-34880#,400#,8238#,77,962560#,430#
49,29,78,-44789,13,8354.67,77,951917,14
48,30,78,-57483.2,1.9,8507.380,77,938289.2,2.1
47,31,78,-63704.1,1.1,8577.104,77,931610.9,1.1
46,32,78,-71862,4,8671.66,77,922853,4
45,33,78,-72817,10,8673.88,77,921828,10
44,34,78,-77025.95,0.18,8717.807,77,917309.24,0.19
43,35,78,-73452,4,8661.96,77,921146,4
42,36,78,-74178.3,0.3,8661.238,77,920366.3,0.3
41,37,78,-66935,3,8558.35,77,928142,3
40,38,78,-63174,7,8500.10,77,932180,8
39,39,78,-52170#,300#,8349#,77,943990#,320#
38,40,78,-40850#,400#,8194#,77,956150#,430#
51,28,79,-28160#,500#,8150#,78,969770#,540#
50,29,79,-42410,100,8320.9,78,954470,110
49,30,79,-53432.3,2.2,8450.583,78,942638.1,2.4
48,31,79,-62548.4,1.2,8556.072,78,932851.6,1.3
47,32,79,-69530,40,8634.5,78,925360,40
46,33,79,-73636,5,8676.62,78,920948,6
45,34,79,-75917.47,0.22,8695.592,78,918499.25,0.24
44,35,79,-76068.1,1.0,8687.596,78,918337.6,1.1
43,36,79,-74442,3,8657.11,78,920083,4
42,37,79,-70802.8,1.9,8601.140,78,923990.1,2.1
41,38,79,-65480,7,8523.86,78,929705,8
40,39,79,-57800,80,8416.8,78,937950,90
39,40,79,-46770#,300#,8267#,78,949790#,320#
38,41,79,-31650#,500#,8066#,78,966020#,540#
52,28,80,-23240#,600#,8088#,79,975050#,640#
51,29,80,-36680#,300#,8246#,79,960620#,320#
50,30,80,-51648.6,2.6,8423.55,79,944552.9,2.8
49,31,80,-59223.7,2.9,8508.45,79,936421,3
48,32,80,-69535.3,2.1,8627.571,79,925350.8,2.2
47,33,80,-72215,3,8651.28,79,922474,4
46,34,80,-77759.5,0.9,8710.814,79,916521.8,1.0
45,35,80,-75889.0,1.0,8677.654,79,918529.8,1.1
44,36,80,-77893.5,0.7,8692.930,79,916377.9,0.7
43,37,80,-72175.5,1.9,8611.676,79,922516.4,2.0
42,38,80,-70311,3,8578.60,79,924518,4
41,39,80,-61148,6,8454.28,79,934355,7
40,40,80,-54760#,300#,8365#,79,941210#,320#
39,41,80,-38420#,400#,8151#,79,958750#,430#
53,28,81,-16090#,700#,8000#,80,982730#,750#
52,29,81,-31910#,300#,8185#,80,965740#,320#
51,30,81,-46200,5,8351.93,80,950403,5
50,31,81,-57628,3,8483.36,80,938134,4
49,32,81,-66291.7,2.1,8580.659,80,928832.9,2.2
48,33,81,-72533.3,2.6,8648.06,80,922132.3,2.8
47,34,81,-76389.0,1.0,8686.000,80,917993.0,1.0
46,35,81,-77977.1,1.0,8695.947,80,916288.2,1.0
45,36,81,-77696.2,1.1,8682.821,80,916589.7,1.2
44,37,81,-75457,5,8645.51,80,918994,5
43,38,81,-71528,3,8587.35,80,923211,3
42,39,81,-65713,5,8505.90,80,929454,6
41,40,81,-57520,90,8395.2,80,938250,100
40,41,81,-46360#,400#,8248#,80,950230#,430#
39,42,81,-31460#,500#,8054#,80,966230#,540#
54,28,82,-10720#,800#,7935#,81,988490#,860#
53,29,82,-25730#,400#,8108#,81,972380#,430#
52,30,82,-42314,3,8301.12,81,954574,3
51,31,82,-52930.7,2.4,8421.049,81,943176.5,2.6
50,32,82,-65415.1,2.2,8563.757,81,929774.0,2.4
49,33,82,-70105,4,8611.42,81,924739,4
48,34,82,-77593.9,0.5,8693.197,81,916699.5,0.5
47,35,82,-77498.7,1.0,8682.495,81,916801.8,1.0
46,36,82,-80591.795,0.006,8710.675,81,913481.154,0.006
45,37,82,-76188,3,8647.43,81,918209,3
44,38,82,-76010,6,8635.72,81,918400,6
43,39,82,-68064,5,8529.28,81,926930,6
42,40,82,-63614.1,1.6,8465.467,81,931707.5,1.7
41,41,82,-51810#,300#,8312#,81,944380#,320#
40,42,82,-40370#,400#,8163#,81,956660#,430#
54,29,83,-20390#,500#,8044#,82,978110#,540#
53,30,83,-36290#,300#,8226#,82,961040#,320#
52,31,83,-49257.1,2.6,8372.58,82,947120.3,2.8
51,32,83,-60976.4,2.4,8504.346,82,934539.1,2.6
50,33,83,-69669.3,2.8,8599.65,82,925207,3
49,34,83,-75341,3,8658.56,82,919119,3
48,35,83,-79014,4,8693.39,82,915175,4
47,36,83,-79990.643,0.009,8695.730,82,914126.517,0.010
46,37,83,-79070.6,2.3,8675.219,82,915114.2,2.5
45,38,83,-76798,7,8638.41,82,917554,7
44,39,83,-72206,19,8573.66,82,922484,20
43,40,83,-65912,6,8488.40,82,929241,7
42,41,83,-57610,160,8379.0,82,938150,170
41,42,83,-46340#,400#,8234#,82,950250#,430#
40,43,83,-31320#,500#,8043#,82,966380#,540#
55,29,84,-13720#,500#,7965#,83,985270#,540#
54,30,84,-31830#,400#,8171#,83,965830#,430#
53,31,84,-44094,30,8307.5,83,952660,30
52,32,84,-58148,3,8465.52,83,937575,3
51,33,84,-65854,3,8547.94,83,929303,3
50,34,84,-75947.7,2.0,8658.793,83,918466.8,2.1
49,35,84,-77783,26,8671.3,83,916496,28
48,36,84,-82439.345,0.004,8717.447,83,911497.727,0.004
47,37,84,-79759.0,2.2,8676.224,83,914375.2,2.4
46,38,84,-80649.6,1.2,8677.513,83,913419.1,1.3
45,39,84,-73894,4,8587.78,83,920671,5
44,40,84,-71422,5,8549.03,83,923326,6
43,41,84,-61193.8,0.4,8417.956,83,934305.7,0.4
42,42,84,-54170#,300#,8325#,83,941850#,320#
41,43,84,-37700#,400#,8120#,83,959530#,430#
55,30,85,-25100#,500#,8090#,84,973050#,540#
54,31,85,-39740,40,8253.6,84,957330,40
53,32,85,-53123,4,8401.77,84,942970,4
52,33,85,-63189,3,8510.99,84,932164,3
51,34,85,-72413.6,2.6,8610.30,84,922260.8,2.8
50,35,85,-78575,3,8673.59,84,915646,3
49,36,85,-81480.3,2.0,8698.563,84,912527.3,2.1
48,37,85,-82167.341,0.005,8697.442,84,911789.736,0.005
47,38,85,-81103.3,2.8,8675.72,84,912932,3
46,39,85,-77842,19,8628.15,84,916433,20
45,40,85,-73175,6,8564.04,84,921443,7
44,41,85,-66280,4,8473.71,84,928846,4
43,42,85,-57510,16,8361.33,84,938261,17
42,43,85,-45850#,400#,8215#,84,950780#,430#
41,44,85,-30630#,500#,8027#,84,967120#,540#
56,30,86,-20060#,500#,8032#,85,978460#,540#
55,31,86,-33760#,400#,8182#,85,963760#,430#
54,32,86,-49400,440,8355,85,946970,470
53,33,86,-58962,3,8456.72,85,936702,4
52,34,86,-70503.2,2.5,8581.822,85,924311.7,2.7
51,35,86,-75632,3,8632.37,85,918805,3
50,36,86,-83265.676,0.004,8712.030,85,910610.625,0.004
49,37,86,-82747.00,0.20,8696.901,85,911167.44,0.21
48,38,86,-84523.100,0.005,8708.457,85,909260.725,0.006
47,39,86,-79283,14,8638.43,85,914886,15
46,40,86,-77969,4,8614.05,85,916297,4
45,41,86,-69134,5,8502.22,85,925782,6
44,42,86,-64110.9,2.9,8434.72,85,931174,3
43,43,86,-51570#,300#,8280#,85,944640#,320#
42,44,86,-39770#,400#,8133#,85,957310#,430#
56,31,87,-28870#,500#,8124#,86,969010#,540#
55,32,87,-43590#,300#,8285#,86,953200#,320#
54,33,87,-55617.9,3.0,8413.85,86,940292,3
53,34,87,-66426.1,2.2,8529.092,86,928688.6,2.4
52,35,87,-73892,3,8605.91,86,920674,3
51,36,87,-80709.53,0.25,8675.284,86,913354.76,0.26
50,37,87,-84597.802,0.006,8710.984,86,909180.529,0.006
49,38,87,-84880.076,0.005,8705.236,86,908877.495,0.006
48,39,87,-83018.4,1.1,8674.845,86,910876.1,1.2
47,40,87,-79347,4,8623.65,86,914817,4
46,41,87,-73874,7,8551.76,86,920692,7
45,42,87,-66884.8,2.9,8462.42,86,928196,3
44,43,87,-57690,4,8347.74,86,938067,5
43,44,87,-45730#,400#,8201#,86,950910#,430#
57,31,88,-22390#,500#,8050#,87,975960#,540#
56,32,88,-39520#,400#,8236#,87,957570#,430#
55,33,88,-50450#,200#,8351#,87,945840#,220#
54,34,88,-63884,3,8495.00,87,931417,4
53,35,88,-70716,3,8563.75,87,924083,3
52,36,88,-79691.3,2.6,8656.850,87,914447.9,2.8
51,37,88,-82609.00,0.16,8681.115,87,911315.59,0.17
50,38,88,-87921.629,0.006,8732.596,87,905612.254,0.006
49,39,88,-84299.0,1.5,8682.540,87,909501.3,1.6
48,40,88,-83629,5,8666.03,87,910221,6
47,41,88,-76170,60,8572.4,87,918230,60
46,42,88,-72687,4,8523.91,87,921968,4
45,43,88,-61670,4,8389.83,87,933794,4
44,44,88,-54340#,300#,8298#,87,941660#,320#
43,45,88,-36860#,400#,8090#,87,960430#,430#
57,32,89,-33040#,400#,8161#,88,964530#,430#
56,33,89,-46530#,300#,8304#,88,950050#,320#
55,34,89,-58992,4,8435.28,88,936669,4
54,35,89,-68274,3,8530.78,88,926705,4
53,36,89,-76535.8,2.1,8614.816,88,917835.4,2.3
52,37,89,-81712,5,8664.19,88,912278,6
51,38,89,-86209.03,0.09,8705.923,88,907450.81,0.10
50,39,89,-87711.2,0.3,8714.011,88,905838.2,0.4
49,40,89,-84878.0,2.8,8673.39,88,908879.8,3.0
48,41,89,-80626,24,8616.82,88,913445,25
47,42,89,-75015,4,8544.99,88,919468,4
46,43,89,-67395,4,8450.58,88,927649,4
45,44,89,-58369,24,8340.38,88,937338,26
44,45,89,-45650#,360#,8189#,88,950990#,390#
58,32,90,-28470#,500#,8109#,89,969440#,540#
57,33,90,-40990#,400#,8240#,89,956000#,430#
56,34,90,-55800,330,8396,89,940100,350
55,35,90,-64000,3,8478.19,89,931293,4
54,36,90,-74959.3,1.9,8591.260,89,919527.9,2.0
53,37,90,-79366,6,8631.53,89,914798,7
52,38,90,-85950.9,1.4,8696.004,89,907727.9,1.6
51,39,90,-86496.9,0.4,8693.378,89,907141.7,0.4
50,40,90,-88772.55,0.12,8709.970,89,904698.76,0.13
49,41,90,-82662,3,8633.38,89,911259,4
48,42,90,-80173,3,8597.03,89,913931,4
47,43,90,-70724.7,1.0,8483.360,89,924073.9,1.1
46,44,90,-64884,4,8409.77,89,930344,4
45,45,90,-51630#,200#,8254#,89,944570#,220#
44,46,90,-39710#,400#,8113#,89,957370#,430#
58,33,91,-36500#,400#,8189#,90,960820#,430#
57,34,91,-50580,430,8335,90,945700,470
56,35,91,-61107,4,8441.92,90,934399,4
55,36,91,-70974.0,2.2,8541.752,90,923806.3,2.4
54,37,91,-77745,8,8607.56,90,916537,8
53,38,91,-83652,5,8663.88,90,910196,6
52,39,91,-86351.3,1.8,8684.942,90,907298.0,2.0
51,40,91,-87895.59,0.09,8693.315,90,905640.21,0.10
50,41,91,-86638.0,2.9,8670.90,90,906990,3
49,42,91,-82209,6,8613.63,90,911745,7
48,43,91,-75986.7,2.4,8536.656,90,918425.0,2.5
47,44,91,-68239.8,2.2,8442.929,90,926741.5,2.4
46,45,91,-58570#,300#,8328#,90,937120#,320#
